story_id,obs1,obs2,real_hypothesis,comet_model,abduction_gpt_lg_model,abduction_gpt_md_model,abduction_gpt_sm_model
0023fe98-5106-458d-8069-e72f1f7d65eb-1,Stephen was at a party.,He checked it but it was completely broken.,Stephen knocked over a vase while drunk.,Stephen forgot his jacket.,Stephen dropped his phone.  was broken. ,Stephen broke his glass. ,Stephen was very drunk. Stephen drank too much. Stephen was drinking too much
0023fe98-5106-458d-8069-e72f1f7d65eb-1,Stephen was at a party.,He checked it but it was completely broken.,Stephen dropped his phone.,Stephen fell asleep on the couch.,Stephen dropped his phone.  was broken. ,Stephen broke his glass. ,Stephen was very drunk. Stephen drank too much. Stephen was drinking too much
0023fe98-5106-458d-8069-e72f1f7d65eb-1,Stephen was at a party.,He checked it but it was completely broken.,Stephen broke Jack's computer by accident while drinking.,Stephen was distracted from his father by a noise.,Stephen dropped his phone.  was broken. ,Stephen broke his glass. ,Stephen was very drunk. Stephen drank too much. Stephen was drinking too much
004b048d-beda-45a3-bb51-7a16dec21c5a-1,Donna keeps a giant bowl of candy on her desk for her co workers.,Her coworkers were so excited for all the new treats!,Donna forgot to replace the candy.,Donna's co workers like spicy food.,Donna's coworkers gave her a box of candy.  came out delicious. ,Donna's coworkers were very excited for all the new treats. ,Donna's coworkers were so happy. Donna's coworkers were so happy. Donna's coworkers were so happy
004b048d-beda-45a3-bb51-7a16dec21c5a-1,Donna keeps a giant bowl of candy on her desk for her co workers.,Her coworkers were so excited for all the new treats!,Donna got some old candy.,Donna got some new boxes.,Donna's coworkers gave her a box of candy.  came out delicious. ,Donna's coworkers were very excited for all the new treats. ,Donna's coworkers were so happy. Donna's coworkers were so happy. Donna's coworkers were so happy
004b048d-beda-45a3-bb51-7a16dec21c5a-1,Donna keeps a giant bowl of candy on her desk for her co workers.,Her coworkers were so excited for all the new treats!,Donna refreshed her bowl with Halloween candy.,She gave it to her coworkers.,Donna's coworkers gave her a box of candy.  came out delicious. ,Donna's coworkers were very excited for all the new treats. ,Donna's coworkers were so happy. Donna's coworkers were so happy. Donna's coworkers were so happy
004b048d-beda-45a3-bb51-7a16dec21c5a-1,Donna keeps a giant bowl of candy on her desk for her co workers.,Her coworkers were so excited for all the new treats!,She refilled it at the end of the week.,The bowl is decorated with new lights.,Donna's coworkers gave her a box of candy.  came out delicious. ,Donna's coworkers were very excited for all the new treats. ,Donna's coworkers were so happy. Donna's coworkers were so happy. Donna's coworkers were so happy
004b048d-beda-45a3-bb51-7a16dec21c5a-1,Donna keeps a giant bowl of candy on her desk for her co workers.,Her coworkers were so excited for all the new treats!,She was going to go to Sam's club but decided it wasn't worth it.,Donna got her new stuffed bowl with chocolate bars and filled with peanut butter and jelly.,Donna's coworkers gave her a box of candy.  came out delicious. ,Donna's coworkers were very excited for all the new treats. ,Donna's coworkers were so happy. Donna's coworkers were so happy. Donna's coworkers were so happy
009089dc-6986-4152-849b-43c4acb55bd6-1,Missy love her chocolate.,Missy got the biggest chocolate bar and became super happy.,Missy decided to go to the candy store.,Missy found a bar on the shelf.,Missy had a lot of chocolate.  came to every five minutes. ,Missy went to the candy store. ,Missy loved chocolate. Missy bought a chocolate bar. Missy went to the store
009089dc-6986-4152-849b-43c4acb55bd6-1,Missy love her chocolate.,Missy got the biggest chocolate bar and became super happy.,Missy wanted to eat chocolate.,Missy saved money from her cookies.,Missy had a lot of chocolate.  came to every five minutes. ,Missy went to the candy store. ,Missy loved chocolate. Missy bought a chocolate bar. Missy went to the store
009089dc-6986-4152-849b-43c4acb55bd6-1,Missy love her chocolate.,Missy got the biggest chocolate bar and became super happy.,Missy's birthday was coming up.,Missy decided to add more to her chocolate drink.,Missy had a lot of chocolate.  came to every five minutes. ,Missy went to the candy store. ,Missy loved chocolate. Missy bought a chocolate bar. Missy went to the store
009089dc-6986-4152-849b-43c4acb55bd6-1,Missy love her chocolate.,Missy got the biggest chocolate bar and became super happy.,Out of all of the birthday presents Missy got.,Missy's friends invited her to a chocolate bar game.,Missy had a lot of chocolate.  came to every five minutes. ,Missy went to the candy store. ,Missy loved chocolate. Missy bought a chocolate bar. Missy went to the store
