observation1, observation2, generated hypothesis, real hypothesis
Ron started his new job as a landscaper today.,Ron is immediately fired for insubordination.,Ron was careless and ruined the company's landscaping. Ron did not follow the rules. Ron was very rude,Ron ignores his bosses's orders and called him an idiot.
Sandy lived in New York.,Sandy was prepared.,Sandy decided to move to a new city. She moved to a new city. So she moved to a new town,It stormed in New York.
Mary's mom came home with more bananas than they could possibly eat.,That was the best way ever to eat a banana!,Mary's mom gave her bananas to eat. So she had to go to the store. i had to buy bananas,Mary and her mom decided to make chocolate covered frozen bananas to avoid waste.
Jim was working on a project.,Luckily he found it on a nearby shelf.,Jim lost his pencil. He was working on a project he was very proud of. He lost his pencil,Jim found he was missing an item.
Sean was sitting at his desk.,After a minute he was able to put the chair back together.,Sean's chair broke and he had to fix it. he had to fix his chair. he had to fix his chair,He noticed the chair leg was falling off.
Pablo likes to eat worms.,Pablo does not enjoy eating worms.,Pablo was in the backyard when a worm came in. Pablo dug a hole in the ground. Pablo dug a hole,Pablo then learned what worms really are.
There was a scientist who wanted to collect bacteria samples.,The bacteria was non harmful.,He collected them all in his lab. The scientist was not prepared for the material. He collected the samples,The scientist collected samples of the bacteria and tested them.
I joined the Navy.,That angered me so I hit him and was arrested by the military police.,I was a part of a Navy ship that was on vacation. I was a sailor. I was a sailor,My drill sergeant insulted my mother.
Dotty was being very grumpy.,She felt much better afterwards.,Dotty decided to clean up her office. So she decided to clean up her office. So she decided to clean it,Dotty call some close friends to chat.
Ali's mom enrolled her in a karate class.,Ali was so embarrassed she didn't tell any of her friends.,Ali was not good at karate. Ali failed her karate test. i failed the class,Ali did not want to take karate.
A sob escaped Cory's lips.,When he got home he curled into a ball in the corner and cried.,Cory was very sad. Cory was sad. Cory was sad,Cory was teased by some of the kids in his classroom.
Many young adults play in the marching band in school.,Dennis loves his marching band and enjoys entertaining the fans.,Dennis is a band member and has a band to play for. dennis wanted to join. dennis wanted to play in a band,People went to watch the band play.
Deb wanted to go shopping.,She found everything she needed and had money left over.,Deb went to the store and bought a lot of clothes. So she went to the store. So she didn't have money,Deb had a lot of coupons.
My cousin Kory was working at the airport.,He is now serving out his sentence.,Kory was caught smuggling drugs. Kory was arrested by the police. Kory was smuggling drugs,Kory stole from the airport.
Daniel wanted to buy a toy plane but he didn't have any money.,He bought his toy plane and kept working so he could buy another!,Daniel saved up his money. So he worked at a toy store. So he worked at the store,He opened a lemonade stand.
Jenna hit the weight hard in the gym.,She took a cold bath in order to alleviate her pain.,Jenna was not feeling well. She had a big physical exam. So she decided to go to the gym,Jenna pulled a muscle lifting weights.
It was lunch time and Kat was hungry.,Kat and her coworkers enjoyed a nice lunch outside.,Kat decided to go to her favorite restaurant. Kat decided to go to a restaurant. Kat decided to go to a restaurant,Kat went to get a salad.
Cosmo was a pudgy cat.,Now he's fit and muscular!,Cosmo was fat and stinky. He ate too much. So he had to get a cast,His owner gave him a lower fat cat food.
Tim was a boy scout and went on many camping trips with his friends.,Eventually Tim had to go home without any socks.,Tim got lost and couldn't find his socks. he had to go to the bathroom. he had to go to the bathroom,Tim could not find his socks.
One day Adam bought two BB guns.,Adam took the gun away from Christian.,Adam's friend threatened Adam with the guns. Adam didn't have any BB guns. Adam didn't have any,Christian grabbed the gun and shot Adam in the eye.
My friend is a hunter.,The elk was nowhere to be found.,My friend and I hunted a deer. We found a lost tribe. We went to the woods,She set up a hunting blind in the woods.
I walked into my math class.,I ended up failing.,I was trying to figure out how to do math. [SEP]I ended up failing. I didn't study,I didn't study for the test.
In 1989 our company started using personal computers.,When she got her pc later she did not know how to use it.,Our computer was very old. She worked on it for many years. She worked on computers,we bought the owners grandmother a new pc.
Mary doesn't like cold weather.,At least until she can afford to move to warmer state.,Mary is not very cold. She lives in a cold state. She moved to Florida,Mary wears two jackets.
Amy and her friends were out at 3 AM.,They stayed there breathing hard and praying they hadn't been seen.,Amy and her friends heard a loud noise. They went to the park. They went to the park,The decided to break into the football field. When suddenly they saw a flashlight comming towards them. They all started running for the bleachers.
Bob's parents grounded him.,He came back home but his parents didn't even know he left.,Bob decided to go home early. He was grounded for a week. He decided to go home,Bob got away with sneaking out.
Amy worked in the stockroom at Marshall's.,Amy decided she would push herself to meet her new quota.,Amy was tired of working there. work was difficult. So she worked all day,Amy's boss said she needed to do more.
Jason had always admired the fast movements of boxers he saw on TV.,He won his first fight by knockout.,Jason practiced boxing everyday. I wanted to win. ,He didn't let his inspiration go to waste he trained and trained.
Erin tried to learn how to draw.,So she joined a drawing class.,Erin wanted to learn how to draw. Erin took a drawing class. She took a drawing class,Erin practiced drawing at home with no luck.
Jon decided to steal a police car.,Jon went to prison for three years.,Jon stole the car and was arrested. Jon stole the car. Jon stole the car,Jon crashed the police car into a telephone poll.
I used to procrastinate about studying.,Now I never procrastinate studying.,I failed my classes and had to start over again. I had to study all night. I had to study all night,I failed a big test.
Jacob hated walking to school.,Jacob was able to buy himself a used truck after 5 months of saving.,Jacob saved up enough money to buy a used truck. He decided to save up.  to save up,Jacob decided to buy himself a car.
Roy went to the park to watch Little League baseball.,The visiting team developed performance issues as a result.,The batter did not do well. i was worried about the other team. i was worried about the other team,Roy made the other team uncomfortable.
Stan started to feel sick at school one day.,Stan finally recovered but said he wanted a flu shot from now on.,Stan had to go to the doctor for the flu. He had to go to the doctor. He had a fever and was rushed to the doctor,The school nurse sent Stan home from school.
Lisa and Tim had been married for a long time.,It worked.,Lisa and Tim got a new partner. They decided to try a new dating website. So they decided to try a dating site,Lisa and Tim went to a fertility clinic to get pregnant.
Adam loves to eat sandwiches when he drinks.,Adam choked to death because he forgot to take off the cheese wrapper.,Adam ate a sandwich without cheese. He was so hungry he didn't have any cheese. and ate the cheese,Adam made himself a sandwich using bread turkey and a slice of American cheese.
Tom was painting his fence.,Tom left his fence half painted.,Tom's fence was very dusty. He had to paint it. He had to do it over,Tom heard a game was on and left.
Amy decided to move from Wisconsin to Florida.,However the experience was no fun without her friends.,Amy loved the warm weather in Florida. But she hated the cold. it was cold,Amy wanted to live by the beadch.
Roger wanted to play tennis as well as Roger Federer.,No one ever told Roger all his balls never landed in the court.,Roger practiced every day and got better. i asked him to play. i asked him to play,Roger tried but he wasn't as good as his idol.
Julie had a coworker named Barry who loved to make trouble for others.,Julie was incredibly embarrassed.,Barry was a mean and awful person. He was always rude to everyone. Barry was always rude to everyone,Barry laughed at Julie's unzipped pants.
Bob decided to hike in the jungles of Indonesia.,Bob had also forgotten his shoes.,Bob realized that the jungle was very dangerous. he was scared of the jungle. he was scared of the jungle,Bob stopped in the middle of the hike because he had no bug spray.
Lucy got all her friends together for a pizza party.,When the pizzas were done they had a taste and were delicious.,Lucy ordered a pizza for her friends. They had a great time. They had a pizza party,Lucy decided to make the pizzas at home.
It was a very windy day.,Jim wished he hadn't gone out in his new hat.,Jim's new hat was too big. Jim went to the store to buy a new hat. he bought a new hat,Jim's hat blew away in the wind.
Trevor went to the lake one day to fish.,Trevor was forced to go home after he lost his fishing pole.,Trevor's fishing pole fell off. He didn't have a fishing pole. He fell off the fishing pole,The water was perfect for all levels of fishing.
My sister lived at the top of a highrise apartment.,I realized I was afraid of such massive heights and I fainted.,I was in a high rise apartment. I was in a high rise apartment. I was in a high rise apartment,I went to visit her and stepped out onto the balcony of her apartment with a great view.
Allister was practicing her with her bow.,It ended up coming straight down and landing on the instructor's foot.,Allister was practicing her bow with her mother. So she decided to try a new move. So she decided to try a new move,Allister was still a novice at the bow.
Billy was going to have his boss over for dinner.,He was still vacuuming when his boss arrived.,Billy was late to work. he was late to work. he was late to work,Billy played games and forgot about cleaning until 5PM.
Maya was walking alongside a river looking for frogs.,Luckily she was able to get back up and walk home safely.,A frog got stuck in a tree. So she decided to try and jump out of the tree. She fell down the tree,She ended up falling into the river.
Susan was making a soup.,She did her best to cut away the bad parts.,The soup was not cut enough. The soup was too salty. So the soup was too salty,She had to put in some chicken.
Lulu felt so preoccupied lately.,But she was prepared to send her because the school was excellent.,Lulu was worried about the school. Lulu was worried about her school. So she didn't study,Lulu's daughter was going to go to school for the first time.
I wanted to create a video game.,Indeed Java was terrible for programming video games.,I tried to learn how to program my own game. So I took a class on how to program. So I spent hours on the game,I programmed with Java for robot game.
